NPDES # CA#,ORDER #,WDID,FACILITY NAME,population_cwns,population_cwns_2042,population_sso,epaid,population_covid,source,Population Served,population_growth_rate
CA0079731,R5-2022-0040,5A450103001,Clear Creek WWTP,109,127,,,,CWNS,109,0.77
CA0085235,R5-2019-0021,5C10NP00012,Clovis WWTF,441,475,,,,CWNS,441,0.37
CA0084620,R5-2023-0013,5B05NP00001,Copper Cove WWRF,,,,,,No data,,
CA0081507,R5-2016-0066,5A450001005,Cottonwood WWTP,82778,82778,,,,CWNS,82778,0
CA0081485,R5-2018-0011,5D540132001,Cutler-Orosi WWTF,5490,5679,,,,CWNS,5490,0.17
CAC433255,R5-2023-0025,5B090102001,Deer Creek WWTP,441,475,35292,,,CWNS+SSO,441,0.37
CA0081744,R5-2019-0052,5A321010001,Delleker WWTP,7524,8651,,,,CWNS,7524,0.7
CA0038547,R2-2019-0035,2 071013001,Delta Diablo WWTP,62764,69300,,CA0038547,218281,CWNS+COVID,62764,0.5
CA0078093,R5-2019-0047,5B390100001,Deuel Vocational Institution,5490,5679,,,,CWNS,5490,0.17
CA0078590,R5-2019-0082,5B070105003,Discovery Bay WWTP,441,475,16790,,,CWNS+SSO,441,0.37
CA0081621,R5-2021-0023,5A290105001,Donner Summit PUD WWTP,67537,67537,,,,CWNS,67537,0
CAC426201,R5-2023-0025,5A310106001,Dry Creek WWTP,7524,8651,156246,,,CWNS+SSO,7524,0.7
CA0078441,R5-2018-0087,5A470101001,Dunsmuir WWTP,65424,67449,,,,CWNS,65424,0.15
CA0077691,R5-2019-0049,5A480105002,Easterly WWTP,5490,5679,4300,,,CWNS+SSO,5490,0.17
CA0077682,R5-2021-0019-02,5A340108002,EchoWater Resource Recovery Facility,441,475,1600000,CA0077682,1480000,CWNS+SSO+COVID,441,0.37
CAC425238,R5-2023-0025,5B090102005,El Dorado Hills WWTP,,,34935,,,SSO,34935,
CA0081759,R5-2019-0069,5C220701002,El Portal WWTF,14130,10890,,CA0081759,2200,CWNS+COVID,14130,-1.29
CA0085278,R5-2018-0074,5B05NP00014,Forest Meadows WWRP,5490,5679,,,,CWNS,5490,0.17
CAC443249,R5-2023-0025,5B340101001,Galt WWTP & Reclamation Facility,585,585,26000,,,CWNS+SSO,585,0
CAG585001,R5-2023-0025,5A290100001,Grass Valley City WWTP,187226,219544,12500,CAG585001,108444,CWNS+SSO+COVID,187226,0.8
,2014-0153-DWQ,5A32NC00018,Grizzly Ranch CSD,,,,,,No data,,
CA0081574,R5-2022-0024,5A581007001,Hammonton Gold Village WWTP,,,240,,,SSO,240,
CAC439621,R5-2023-0025,5A090100001,Hangtown Creek WRF,1462,1462,,,,CWNS,1462,0
CA0085260,R5-2018-0090,5B07NP00013,Ironhouse WWTF,14130,10890,,,,CWNS,14130,-1.29
CAC439953,R5-2023-0025,5A290104001,Lake Wildwood WWTP,1547,1659,,,,CWNS,1547,0.35
CAC439955,R5-2023-0025,5A290104003,Lake of the Pines WWTP,90953,108000,,,,CWNS,90953,0.86
CA0084476,R5-2018-0081,5A31NP00011,Lincoln City WWTF,1080000,1350000,13207,,,CWNS+SSO,1080000,1.12
CA0079651,R5-2022-0070,5A580100002,Linda Cnty Water District WWTP,1771809,2059924,,,,CWNS,1771809,0.76
CAC444735,R5-2023-0025,5A510100001,Live Oak City WWTP,72000,90000,,,,CWNS,72000,1.12
CAC441902,R5-2023-0025,5C221012001,Mariposa WWTP,,,2000,,,SSO,2000,
CA0079219,R5-2020-0014,5C240108001,Merced WWTF,1462,1462,,CA0079219,91000,CWNS+COVID,1462,0
CA0084069,R5-2023-0040,5A520102001,Mineral WWTP,1080,2858,,,,CWNS,1080,4.99
CA0078051,R5-2023-0016,5A470105001,Mount Shasta WWTP,441,475,,,,CWNS,441,0.37
CA0084271,R5-2023-0033,5B391078003,Mountain House WWTP,1547,1659,,CA0084271,24499,CWNS+COVID,1547,0.35
CA0079901,R5-2022-0039,5A290101001,Nevada City WWTP,90953,108000,,,,CWNS,90953,0.86
CA0083771,R5-2021-0004,5A480108001,Northwest WWTF,1080000,1350000,,,,CWNS,1080000,1.12
CA0077836,R5-2021-0024,5A580102001,Olivehurst WWTP,1771809,2059924,,,,CWNS,1771809,0.76
,,,Placer Cnty SMD No 3,39600,39600,,,,CWNS,39600,0
