REGION,FACILITY ID,FACILITY NAME,pop_final,pop_final_source,pop_final_rwb_preferred,pop_final_rwb_preferred_source
5,872487,City of Tulare WWTF,NA,NA,NA,NA
5,273116,Gustine WWTF,1043,pop_cwns,1043,pop_cwns
5,201071,Madera Cnty #27-Goldside Estates WWTF,414,pop_sso_csv,414,pop_sso_csv
5,273128,Parlier WWTF,NA,NA,NA,NA
5,273175,Laton WWTF,104,pop_cwns,104,pop_cwns
5,273133,Sanger WWTF,NA,NA,NA,NA
5,273125,McFarland WWTF,104,pop_cwns,104,pop_cwns
5,273149,I-5 & Highway 58 WWTF,NA,NA,NA,NA
5,273193,Terra Bella WWTF,NA,NA,NA,NA
5,232096,Harris Ranch Inn and Restaurant WWTF,NA,NA,NA,NA
5,230914,Huntington Pines Mutual Water Company,NA,NA,NA,NA
5,214665,Taft WWTF,1043,pop_cwns,1043,pop_cwns
5,273192,Strathmore  WWTF,104,pop_cwns,104,pop_cwns
5,273121,Lindsay WWTF,104,pop_cwns,104,pop_cwns
5,234146,Fresno Cnty Juvenile Justice WWTF,NA,NA,NA,NA
5,273141,Hilmar CWD WWTF,104,pop_cwns,104,pop_cwns
5,273130,Porterville WWTF,1043,pop_cwns,1043,pop_cwns
5,273179,Lost Hills WWTF,104,pop_cwns,104,pop_cwns
5,273123,Madera WWTF,NA,NA,NA,NA
5,726883,Pixley WWTF,1043,pop_cwns,1043,pop_cwns
5,273126,Mendota WWTF,104,pop_cwns,104,pop_cwns
5,263072,Tehachapi Correctional Inst WWTF,NA,NA,NA,NA
5,201069,Madera Cnty #22A-Oakhurst WWTF,2686,pop_sso_csv,2686,pop_sso_csv
5,245554,Oak Creek MHP WWTF,NA,NA,NA,NA
5,273184,Richgrove WWTF,1043,pop_cwns,1043,pop_cwns
5,721549,Cascade MHP WWTF,NA,NA,NA,NA
5,759028,SCICON WWTF,1043,pop_cwns,1043,pop_cwns
5,222436,El Dorado MHP WWTF,NA,NA,NA,NA
5,273104,Arvin WWTF,104,pop_cwns,104,pop_cwns
5,273107,Coalinga WWTF,104,pop_cwns,104,pop_cwns
5,257951,Riverbend Mobile Home Park,NA,NA,NA,NA
5,273108,Corcoran WWTF,104,pop_cwns,104,pop_cwns
5,273138,Visalia Water Reclamation Facility (WRF),3006,pop_sso_csv,3006,pop_sso_csv
5,273187,SKF CSD WWTF,NA,NA,NA,NA
5,273114,Firebaugh WWTF,1043,pop_cwns,1043,pop_cwns
5,273136,Tehachapi WWTF,NA,NA,NA,NA
5,273170,Franklin WWTF,NA,NA,NA,NA
5,201068,Madera Cnty #2-Bass Lake WWTF,666,pop_cwns,666,pop_cwns
5,253236,Sonora Estates Manufactured Housing Community,NA,NA,NA,NA
5,273196,Wasco WWTF,NA,NA,NA,NA
5,273163,Biola WWTF,NA,NA,NA,NA
5,251805,Rawhide Mobile Home Park WWTF,104,pop_cwns,104,pop_cwns
5,236857,Lemoore NAS WWTF,NA,NA,NA,NA
5,273118,Hanford WWTF,NA,NA,NA,NA
5,273190,Springville WWTF,NA,NA,NA,NA
5,248717,Pleasant Valley State Prison WWTF,NA,NA,NA,NA
5,215698,Corcoran State Prison WWTF,NA,NA,NA,NA
5,273112,Exeter WWTF,104,pop_cwns,104,pop_cwns
5,213592,CDC CCWF & VSP WWTF,NA,NA,NA,NA
5,273106,Chowchilla WWTF,104,pop_cwns,104,pop_cwns
5,214957,Coalinga State Hospital WWTF,1043,pop_cwns,1043,pop_cwns
