FACILITY ID,FACILITY NAME,REGION,PROGRAM CATEGORY,ASSIGNED CATEGORY,COMMUNITY TYPE,FEDERAL FACILITY,NPDES ASSESSMENT,WDR ASSESSMENT,CS ASSESSMENT,wdid,npdes_permit_number,order_number,pop_cwns,pop_cwns_2042,pop_sso_csv,pop_covid,pop_served_csv,pop_source_csv,pop_growth_rate,wdid_sso,pop_served_via_rwb,pop_final,pop_final_source,pop_final_rwb_preferred,pop_final_rwb_preferred_source
630394,Ferndale City CS,1,SSO,i,COMMUNITY,FALSE,No,No,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1SSO10027,1200,1200,pop_served_via_rwb,1200,pop_served_via_rwb
823771,Fieldbrook Glendale CS,1,SSO,i,COMMUNITY,FALSE,No,No,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1SSO10100,520,520,pop_served_via_rwb,520,pop_served_via_rwb
630395,Forestville Water District CS,1,SSO,i,COMMUNITY,FALSE,No,No,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1SSO10028,1200,1200,pop_served_via_rwb,1200,pop_served_via_rwb
630379,Fort Bragg City CS,1,SSO,i,COMMUNITY,FALSE,No,No,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1SSO11467,7500,7500,pop_served_via_rwb,7500,pop_served_via_rwb
630402,Fort Jones City CS,1,SSO,i,COMMUNITY,FALSE,No,No,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1SSO10030,616,616,pop_served_via_rwb,616,pop_served_via_rwb
630403,Fortuna City CS,1,SSO,i,COMMUNITY,FALSE,No,No,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1SSO10031,12295,12295,pop_served_via_rwb,12295,pop_served_via_rwb
630404,Garberville CS,1,SSO,i,COMMUNITY,FALSE,No,No,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1SSO10032,1300,1300,pop_served_via_rwb,1300,pop_served_via_rwb
630413,Graton CSD Graton CSA No. 2 CS,1,SSO,i,COMMUNITY,FALSE,No,No,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1SSO10033,1815,1815,pop_served_via_rwb,1815,pop_served_via_rwb
630415,Gualala CS,1,SSO,i,COMMUNITY,FALSE,No,No,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1SSO10035,652,652,pop_served_via_rwb,652,pop_served_via_rwb
630416,Happy Camp SD CS,1,SSO,i,COMMUNITY,FALSE,No,No,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1SSO10036,927,927,pop_served_via_rwb,927,pop_served_via_rwb
779266,Hayfork CS,1,SSO,i,COMMUNITY,FALSE,No,No,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1SSO11611,2000,2000,pop_served_via_rwb,2000,pop_served_via_rwb
630417,Healdsburg City CS,1,SSO,i,COMMUNITY,FALSE,No,No,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1SSO10037,11340,11340,pop_served_via_rwb,11340,pop_served_via_rwb
630418,Hopland PUD CS,1,SSO,i,COMMUNITY,FALSE,No,No,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1SSO10038,1200,1200,pop_served_via_rwb,1200,pop_served_via_rwb
645094,Humboldt CSD CS,1,SSO,i,COMMUNITY,FALSE,No,No,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1SSO11419,16667,16667,pop_served_via_rwb,16667,pop_served_via_rwb
631092,Humboldt State Univeristy CS,1,SSO,i,COMMUNITY,FALSE,No,No,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1SSO11173,12000,12000,pop_served_via_rwb,12000,pop_served_via_rwb
630420,Klamath CSD CS,1,SSO,i,COMMUNITY,FALSE,No,No,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
630421,Lake Shastina Csd CS,1,SSO,i,COMMUNITY,FALSE,No,No,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1SSO10041,3000,3000,pop_served_via_rwb,3000,pop_served_via_rwb
630422,Loleta CS,1,SSO,i,COMMUNITY,FALSE,No,No,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1SSO10042,750,750,pop_served_via_rwb,750,pop_served_via_rwb
630423,Manila Csd CS,1,SSO,i,COMMUNITY,FALSE,No,No,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1SSO10043,1000,1000,pop_served_via_rwb,1000,pop_served_via_rwb
